NO,PIN,DESC
233,S77,PCIE_C_RST#
234,S78,PCIE_C_RX+/SERDES_1_RX+
235,S79,PCIE_C_RX-/SERDES_1_RX
236,S80,GND
237,S81,PCIE_C_TX+/SERDES_1_TX+
238,S82,PCIE_C_TX-/SERDES_1_TX
239,S83,GND
240,S84,PCIE_B_REFCK+
241,S85,PCIE_B_REFCK
242,S86,GND
243,S87,PCIE_B_RX+
244,S88,PCIE_B_RX
245,S89,GND
246,S90,PCIE_B_TX+
247,S91,PCIE_B_TX-
248,S92,GND
249,S93,DP0_LANE0+
250,S94,DP0_LANE0-
251,S95,DP0_AUX_SEL
252,S96,DP0_LANE1+
253,S97,DP0_LANE1-
254,S98,DP0_HPD
255,S99,DP0_LANE2+
256,S100,DP0_LANE2-
257,S101,GND
258,S102,DP0_LANE3+
259,S103,DP0_LANE3-
260,S104,USB3_OTG_ID
261,S105,DP0_AUX+
262,S106,DP0_AUX-
263,S107,LCD1_BKLT_EN
264,S108,LVDS1_CK+ / eDP1_AUX+ / DSI1_CLK+
265,S109,LVDS1_CK- / eDP1_AUX- / DSI1_CLK-
266,S110,GND
267,S111,LVDS1_0+ / eDP1_TX0+ / DSI1_D0+
268,S112,LVDS1_0- / eDP1_TX0- / DSI1_D0-
269,S113,eDP1_HPD / DSI1_TE
270,S114,LVDS1_1+ / eDP1_TX1+ / DSI1_D1+
271,S115,LVDS1_1- / eDP1_TX1- / DSI1_D1-
272,S116,LCD1_VDD_EN
273,S117,LVDS1_2+ / eDP1_TX2+ / DSI1_D2+
274,S118,LVDS1_2- / eDP1_TX2- / DSI1_D2-
275,S119,GND
276,S120,LVDS1_3+ / eDP1_TX3+ / DSI1_D3+
277,S121,LVDS1_3- / eDP1_TX3- / DSI1_D3-
278,S122,LCD1_BKLT_PWM
279,S123,GPIO13
280,S124,GND
281,S-Pin,Secondary (Bottom) Side
282,S125,LVDS0_0+ / eDP0_TX0+ / DSI0_D0+
283,S126,LVDS0_0- / eDP0_TX0- / DSI0_D0-
284,S127,LCD0_BKLT_EN
285,S128,LVDS0_1+ / eDP0_TX1+ / DSI0_D1+
286,S129,LVDS0_1- / eDP0_TX1- / DSI0_D1-
287,S130,GND
288,S131,LVDS0_2+ / eDP0_TX2+ / DSI0_D2+
289,S132,LVDS0_2- / eDP0_TX2- / DSI0_D2-
290,S133,LCD0_VDD_EN
291,S134,LVDS0_CK+ / eDP0_AUX+ / DSI0_CLK+
292,S135,LVDS0_CK- / eDP0_AUX- / DSI0_CLK-
293,S136,GND
294,S137,LVDS0_3+ / eDP0_TX3+ / DSI0_D3+
295,S138,LVDS0_3- / eDP0_TX3- / DSI0_D3-
296,S139,I2C_LCD_CK
297,S140,I2C_LCD_DAT
298,S141,LCD0_BKLT_PWM
299,S142,GPIO12
300,S143,GND
301,S144,eDP0_HPD / DSI0_TE
302,S145,WDT_TIME_OUT#
303,S146,PCIE_WAKE#
304,S147,VDD_RTC
305,S148,LID#
306,S149,SLEEP#
307,S150,VIN_PWR_BAD#
308,S151,CHARGING#
309,S152,CHARGER_PRSNT#
310,S153,CARRIER_STBY#
311,S154,CARRIER_PWR_ON
312,S155,FORCE_RECOV#
313,S156,BATLOW#
314,S157,TEST#
